name,url,date,address,description
Humans Behind the Startup with Investor Experts (ShitPitch Live Event in Chicago),https://lu.ma//ra7gqiqx,"Wednesday, April 2","Chicago, Illinois","A nationally recognized pitch event where founders showcase their adaptability, communication skills, and more to top-tier investors. Three up-and-coming founders pitch their real Seed and/or Series A round, plus one hilariously FAKE business concept. It's the ultimate test of grit, creativity, and charm."
Chicago Growth Hacks Series: LinkedIn,https://lu.ma//mkanoe7h,"Wednesday, April 2","1871Chicago, Illinois","Owen Oktay, head of growth at Bolto.com (YC S23), will be sharing the latest tips and hacks for LinkedIn growth. Join us for an in-person session where Owen dives into the strategies and techniques that fueled Bolto's growth."
empowHER: Balance & Beyond,https://lu.ma//eb5063ev,"Wednesday, April 2","Sweat Sessions Studio, 1664 N Ada St Floor 2, Chicago, IL 60642, USA","empowHER is a community and platform that unites ambitious women to empower, collaborate, and succeed together. The event in Chicago focuses on 'Balance & Beyond' exploring how women manage multiple roles and the impact of stress on health. Featuring a panel discussion with inspiring leaders and a yoga sculpt session."
CrewAI Enterprise AI Agent Week - Chicago,https://lu.ma//fd0zzad0,"Thursday, April 3","Microsoft Midwest District, 200 E Randolph St #200, Chicago, IL 60601, USA","Join us for the official Chicago meetup for CrewAI's Enterprise AI Agent Week, showcasing real-world AI agent use cases and featuring influential speakers applying multi-agent systems across various industries."
"BioTech TechWalk | Chicago, 4/3 w/ CHIentist Chicago & CBC",https://lu.ma//8ozu8p9g,"Thursday, April 3","Chicago, Illinois","We're building a different sort of networking event for members of the Tech and SaaS communities to get outside, meet new people, and enjoy some fresh air, while practicing mindful movement."
Chicago SEOs April Networking and Happy Hour 🍻 - feat. Mike King,https://lu.ma//pg908fka,"Thursday, April 3","Chicago, Illinois","Join us on April 3 for another Chicago SEO Networking event! We are thrilled to have Mike King join us this time around. Mike is an SEO icon, the founder of iPullRank, and the pioneer of SEO Week. He'll be speaking on the role of Generative AI and its implications on search engines. This is a casual, friendly evening designed to connect SEOs to further learning and relationship building."
Chicago ~ Women in Talent: Toast & Talks 🍞💬,https://lu.ma//8m3uanpv,"Thursday, April 10","Teamtailor Headquarters- 125 S Clark St ste 950, Chicago","Kickstart your morning with Talent Collective & Teamtailor — connect with inspiring women in talent acquisition, enjoy a fireside chat over breakfast, and dive into the biggest recruitment trends shaping 2025."
WKND Studio Hours,https://lu.ma//mjpag008,"Thursday, April 10","4055 W Parker Ave, Chicago, IL 60639, USA","Drop in co-working sessions designed for momentum and quality exchange. Fresh natural light, space to idea bounce, micro photo sessions for a fresh headshot or product highlight, on-site experts to ask questions and make moves. Work alongside the people you WISH were in your accounts payable department. Collective community. Good ideas. Good Coffee. Snacks."
AgeTech Chicago Meetup,https://lu.ma/llx5gdxv,"Thursday, April 10","The Admiral at the Lake, 929 W Foster Ave, Chicago, IL 60640, USA","Join us for the next AgeTech Chicago meetup, a gathering of innovators, educators, operators and investors who are redefining the experience of aging through technology and collaborating to make Chicago a hub for tech-enabled Aging & Longevity innovations."
Chicago CoS Meetup (Thurs April 10),https://lu.ma/chiefofstaffevents?k=c,"Thursday, April 10","Oak Park, Illinois",Come connect with other CoS in Chicago! This event is primarily for in-role Chief of Staff and/or our members.
Personal Project: After Hours Co-working for Creatives,https://lu.ma//4vm4l5pf,"Thursday, April 10","Chicago Athletic Association - The Unbound Collection by HyattChicago, Illinois","Personal Project is a space for the creative work that gets pushed aside during normal business hours. Each co-working session starts with a chance for you to meet other creatives, share what you're working on, and make unexpected connections. Choose your own creative adventure, from drafting outlines to free writing. Seating is first come, first served."
INTERCOLLEGIATE DEMO,https://lu.ma//nmz2mr17,"Friday, April 11","215 N Peoria St 8th floor, Chicago, IL 60607, USA","Join us for the first-ever Midwestern Intercollegiate Demo Day, bringing together the best student founders, investors, and builders from across the region. More than 15 most promising startups from schools like UIUC, Michigan, UChicago, Northwestern, Purdue, MSU, Indiana, and Wisconsin are presenting their ventures to a curated group of judges. Looking forward to seeing you there:)"
Shred: Sweat for Medical Debt Relief at The Garage,https://lu.ma//mmgvjd02,"Saturday, April 12","2501 W Chicago Ave, Chicago, IL 60622, USA","Join the Chicago Global Shapers for a high-impact Shred the Debt workout in partnership with Undue Medical Debt. Every $1 raised can erase $146 of medical debt, helping patients and families regain financial stability. Join The Garage Chicago for a workout that's about more than just showing up, it's about showing up for others."
Full Moon Ritual x The Apartment,https://lu.ma//v6tuk653,"Sunday, April 13","2503 W Chicago Ave, Chicago, Illinois","Step into The Apartment for an intimate 90-minute full moon experience designed to help you let go of what no longer serves you and manifest your deepest intentions. Through journaling, meditation, and a moon-inspired yoga flow, connect with the energy of the full moon to realign with your goals and purpose."
FOHE Chicago Spring Happy Hour & Social,https://lu.ma//dl9zhuyt,"Wednesday, April 23","The Red Lion Pub, 2446 N Lincoln Ave, Chicago, IL 60614, USA","Join us for an evening of networking, collaboration, and great conversations at FOHE Chicago’s Spring Happy Hour & Social! Whether you’re a longtime member or new to the community, this is a perfect opportunity to connect with fellow education and workforce innovators in a relaxed setting."
WEB3 AI AGENTS,https://lu.ma//axvsnq94,"Thursday, April 17","406 N Sangamon St, Chicago, Illinois","Join us for an insightful discussion on how AI agents are revolutionizing Web3—blurring the lines between automation, intelligence, and decentralized innovation."
Marg & Yap: GDS Happy Hour,https://lu.ma/1c12zcab,"Thursday, April 24","Bodega Taqueria y Tequila, 912 W Randolph St, Chicago, IL 60607, USA",Join us for a Girl Dinner Social exclusive Happy Hour! Meet 70 other girls and possibly your new best friend. Enjoy the first round of margs on us. Non-alcoholic beverages available. Ticket is non-refundable.
Chicago Renaissance Showcase,https://lu.ma//bv5fgxvs,"Saturday, April 26","1801 W Carroll Ave, Chicago, Illinois","Welcome to the Chicago Renaissance Showcase, a groundbreaking celebration of Chicago's vibrant cultural heritage and creative future. Through a dynamic fusion of fashion, house music, and visual arts, we're creating more than just an event—we're building a living testament to Chicago's cultural mosaic."
