name,url,date,address,description
FIND YOUR THING at The Spring Volunteer Fair - Midwest Coast Brewing,https://www.eventbrite.com/e/find-your-thing-at-the-spring-volunteer-fair-midwest-coast-brewing-registration-1288715636159?aff=ebdssbdestsearch,"Sunday, April 27","Midwest Coast Brewing Company, 2137 West Walnut Street Chicago, IL 60612","Come for the opportunities, stay for the connections, and leave inspired to get involved and make a difference! The Volunteer Fair is back, highlighting incredible organizations doing impactful work in Chicago. Join this fun community event to learn about a wide variety of opportunities to get involved on the northside, westside, and citywide. Connect with inspiring organizations, discover volunteer opportunities, and meet like-minded Chicagoans. Enjoy delicious food and drinks while exploring ways to be involved."
Summit 2025: Uplifting Tomorrow's Leaders,https://www.eventbrite.com/e/summit-2025-uplifting-tomorrows-leaders-tickets-1205883954369?aff=ebdssbdestsearch,"April 30 - May 1, 2025","Convene, 233 South Wacker Drive Chicago, IL 60606","Join us for a 2-day conference focused on fostering a diverse, inclusive, and empowering environment where everyone can thrive and lead. The event aims to close representation gaps in industries where diversity has been historically lacking, providing actionable strategies to break down barriers and champion equity."
Mexico in a Bottle Chicago 2025,https://www.eventbrite.com/e/mexico-in-a-bottle-chicago-2025-tickets-1235015266909?aff=ebdssbdestsearch,"Sunday, April 27, 2025 at 4:00 PM","Chicago, IL","Mexico in a Bottle returns to Chicago for an afternoon of mezcal, Mexican craft spirits, food, art, music and more!"
Sundays Are For Lovers: R&B ALL DAY!,https://www.eventbrite.com/e/sundays-are-for-lovers-rb-all-day-tickets-1314364231799?aff=ebdssbdestsearch,"Sunday, April 27","Hubbard Inn, 110 West Hubbard Street Chicago, IL 60654","Come vibe with us all day long to the smooth sounds of R&B music on a Sunday! Welcome to SUNDAYS ARE FOR LOVERS: The R&B Day Party. Get ready to move, groove, and sing your heart out to the R&B tracks you love. It all goes down on Sunday, April 27th, 2025 at HUBBARD INN, with doors opening at 4:00 PM. Spend your Sunday surrounded by smooth sounds, good vibes, and even better company. We're turning the energy all the way up with sets from some of Chicago’s hottest DJs, guaranteed to keep the party going. RSVP FOR FREE ENTRY TILL 5PM! Grab your lovers, your friends, and your best energy—because this isn’t just another day party. It’s a celebration for the grown and sexy. Chicago, don’t miss the city’s most talked-about R&B day party. Let’s make Sunday unforgettable."
Afro Fusion Day Party OVERLOAD,https://www.eventbrite.com/e/afro-fusion-day-party-overload-tickets-1319568337419?aff=ebdssbdestsearch,"Sunday, April 27, 4 - 9pm CDT","The Promontory, 5311 South Lake Park Avenue West Chicago, IL 60615","Afro Fusion is the most diverse partying experience hosted by the award-winning Entertainment Company, D.I.S Entertainment. Our DJs fuse different genres of music to deliver an amazing experience, featuring some of the most talented international DJs in the world."
N.A.H.S.E. Chicago Spring Fling 2025,https://www.eventbrite.com/e/nahse-chicago-spring-fling-2025-tickets-1273775580049?aff=ebdssbdestsearch,"Monday, April 28, 2025","Galleria Marchetti, 825 West Erie Street Chicago, IL 60642","Get ready for the ultimate Healthcare Renaissance in Chicago with N.A.H.S.E., where fun, excitement, and unforgettable memories await you! Join us for an exciting event filled with fun and networking at the N.A.H.S.E. Chicago Spring Fling 2025. This year's theme is 'Chicago Healthcare Renaissance'. Don't miss out on this amazing opportunity to make new connections and have a blast!"
"We Go On Tour-Chicago, IL",https://www.eventbrite.com/e/we-go-on-tour-chicago-il-tickets-1063271596969?aff=ebdssbdestsearch,"Sunday, April 27","The Den Theatre, 1331 North Milwaukee Avenue Chicago, IL 60622","Get ready for an immersive experience through Grief to Hope as the We Go On Tour comes back to Chicago! The evening is designed to help you hold on to hope during times that seem to make it so slippery and take the next step toward healing. We’ve learned that sometimes the smallest steps are the most important ones. So, we curated a safe space for you to talk (and laugh) about the uncomfortable, intimidating, and sometimes scary topic: Grief. Our time together will be filled with live music, film, and conversation. Come experience a sense of both anticipation and freedom and leave with a wealth of hope."
Y’all Not Dancing No More: House vs Amapiano,https://www.eventbrite.com/e/yall-not-dancing-no-more-house-vs-amapiano-tickets-1306948330639?aff=ebdssbdestsearch,April 29 · 10pm - April 30 · 2am CDT,"The Promontory, 5311 South Lake Park Avenue West Chicago, IL 60615","An event strictly for the ones that dance and endures pure enjoyment from dancing and interacting with others. Time to put the phones up and let the music use you! No standing on the walls, no being on the phones the whole time, everybody must gas each other up, and please no requests. This event is for those who love to dance and enjoy the pure joy of dancing and interacting with others."
Where We Go from Here,https://www.eventbrite.com/e/where-we-go-from-here-tickets-1308616229369?aff=ebdssbdestsearch,"Monday, April 28","Gordon Parks Arts Hall, 5815 South Kimbark Avenue Chicago, IL 60637",Join Harriet's Daughters for a thought-provoking discussion on the current state of Democracy in America. Our distinguished panelists will share their insights and reflections on where we stand as a nation and where we can go from here. This in-person event is a great opportunity to engage in meaningful conversations and gain deeper understanding of the challenges and opportunities facing our democracy with some of the most respected and insightful minds in the country.
CCC West Loop Cars & Coffee,https://www.eventbrite.com/e/ccc-west-loop-cars-coffee-tickets-1299953488879?aff=ebdssbdestsearch,"Sunday, April 27, 11am - 2pm CDT","120 N Racine Ave, 120 North Racine Avenue Chicago, IL 60607","Cars & Coffee Hosted by CCC on April 27th, 11 AM–2 PM! Enjoy great cars, coffee, and company. NO REVVING OR BURNOUTS. Join us for an unforgettable Cars & Coffee event in Chicago’s vibrant West Loop! Featuring an impressive lineup of exotic, luxury, and classic cars, along with a welcoming community of car enthusiasts."
