name,url,date,address,description
GDS Book Club,https://lu.ma/1hemq1sn,"Sunday, April 27","Chicago, Illinois",Our book of the month is None of This Is True by Lisa Jewell. Excited to welcome everyone back and see some new faces while we chat over the book. Beverages and snacks provided. Come with book ideas for next month!
From Slovakia to Chicago: Business & Networking,https://lu.ma//fom2b6bk,"Tuesday, April 29","Chicago, Illinois","A first-of-its-kind spring business networking event uniting the Slovak-American professional and business community in Chicago. Connect, exchange ideas, and explore new opportunities for collaboration between Slovakia and the United States."
Reading Rhythms Chicago Chapter: April 29th,https://lu.ma//qvlvyl5o,"Tuesday, April 29","UncommonGround - Lakeview
3800 N Clark St, Chicago, IL 60613, USA","Reading Rhythms is a series of welcoming reading parties designed to make it easy for people to gather and read socially. Bring any book you want and enjoy silent reading periods, 1-on-1 breakouts, and group discussions. Reconnect with the love of learning, experience beautiful venues, and gather with like-minded individuals."
Trivia Night,https://lu.ma//d0zwvhf5,"Tuesday, April 29","Benchmark, 1510 N Wells St, Chicago, IL 60610, USA","Get ready to test your knowledge and battle it out for trivia glory at Trivia Night hosted by Let's Be Friends - Chicago. Join us for an evening of brain-teasing fun, friendly competition, and great company. Whether you're a trivia pro or just in it for the laughs, there's a spot for everyone!"
Athalon Games: Spectator Pass,https://lu.ma//rx9foywl,"Sunday, April 27","The Garage Chicago Gym - Group Training
2501 W Chicago Ave suite 2, Chicago, IL 60622, USA","Be part of the action at ATHALON GAMES! Grab a Spectator Pass and experience the grit, energy, and heart of our doubles athletes as they push their limits through high-intensity strength and endurance events. Your donation-based ticket supports The Youth in Humboldt Park x The Bloc, helping open doors for young athletes in our city. Come for the competition, stay for the energy, and know that every cheer you bring makes an impact."
☕️ 1 Million Cups Chicago ☕️,https://lu.ma//ucplhnk5,"Wednesday, April 30","mHUBChicago, Illinois","We’re bringing the national 1 Million Cups movement to Chicago! — a weekly Wednesday morning gathering for entrepreneurs, dreamers, and doers to connect, share stories, and grow together."
Pilot Founder & Investor Mixer,https://lu.ma//bwhyrru1,"Wednesday, April 30","Chicago, Illinois","Join us for an exclusive evening of networking and conversation with early-stage founders and investors in Chicago. This intimate gathering will provide a great opportunity to connect, share insights, and explore potential collaborations in a relaxed setting."
"TechWalk | Chicago, 5/1 w/ Northwestern Alumni",https://lu.ma//4baiu7ih,"Thursday, May 1","Chicago, Illinois","We're building a different sort of networking event for members of the Tech and SaaS communities to get outside, meet new people, and enjoy some fresh air, while practicing mindful movement."
HackwithChicago,https://lu.ma//lvedrq10,"Saturday, May 3","200 E Randolph St #200, Chicago, IL 60601, USA","Join us for HackwithChicago, an electrifying 8-hour hackathon bringing together the brightest minds in tech, creativity, and innovation at the iconic Microsoft Office in Chicago. Whether you're a seasoned hacker, a budding coder, a design wizard, or an idea machine, HackwithChicago is your chance to build, learn, and connect with the most passionate problem-solvers in the city."
"SAVE THE DATE | State of the Markets, May 2025",https://lu.ma//fmdqqdd4,"Tuesday, May 6",Location TBD,"A session providing critical insights on the economic changes since April 1st and their implications for founders, VCs, and angel investors. Attendees will gain market intelligence and strategic frameworks to make informed decisions in today's economic environment."
Chicago Coffee Club | Early-Stage B2B SaaS Founders & Funders,https://lu.ma//45bsyk8y,"Tuesday, May 6","Chicago, Illinois",Join Forum Ventures in Chicago for a coffee meetup to chat about all things early-stage B2B SaaS-focused!
Chicago ~ Women in Recruiting Coffee Meetup Hosted By Hogsalt,https://lu.ma//0vvemfcb,"Thursday, May 8","Sawada Coffee, 112 N Green St, Chicago, IL 60607, USA","Join us for a casual morning of connection and conversation at Sawada Coffee, hosted by our friends at Hogsalt. This is the perfect chance to connect with fellow women in the industry while enjoying a curated sampling of Sawada’s popular menu offerings. Come for the coffee, stay for the community!"
Accelerating Water Innovation: From Idea to Investment to Market,https://lu.ma//t1awbskl,"Thursday, May 8","Chicago, Illinois","Water tech startups face unique hurdles, from regulatory complexities to infrastructure demands and market adoption challenges. This session brings together experts to explore how each organization supports emerging water technologies."
Freshwater Forum,https://lu.ma//dnn4zt6c,"Thursday, May 8","Shedd Aquarium, 1200 S DuSable Lake Shore Dr, Chicago, IL 60605, USA","Join us for Current’s Freshwater Forum, the premier event of Chicago Water Week 2025! This inspiring evening will bring together water industry leaders, innovators, and changemakers to explore how cross-sector collaboration, corporate commitments, and emerging technologies are shaping the future of water."
"Pixquid Film Pop-Up Series, Vol. 3: Creative + Asian = Crasian 🥟",https://lu.ma//5rveu8fq,"Thursday, May 8","Chicago, Illinois","Join us for some dumplings and sake at the our AAPI Heritage Month celebration with a screening of short films by AAPI filmmakers and artists! Program includes: 6p Reception, 6:30p Screening of short films by AAPI filmmakers and artists, 7:30p Q&A/Talkback with filmmakers in attendance. Admission is $10 but it is free when RSVP'ed before April 18. RSVP IS REQUIRED, NO EXCEPTION. Seats are limited so grab yours today."
Model Movement Workshop,https://lu.ma//um4gyrg7,"Saturday, May 10","1579 N Milwaukee Ave unit 330, Chicago, Illinois","During this Model Movement Workshop, students will learn the physical aspects of what each emotion looks like on the body to help create a wider range of movement in front of the camera. The goal is to help build a new rolodex of poses and inspiration, so the student never runs out of poses while on set."
