name,url,date,address,description
Orchids in the Clouds: 2025 Pacific Orchid Exposition,https://www.eventbrite.com/e/orchids-in-the-clouds-2025-pacific-orchid-exposition-feb-27-mar-2-2025-tickets-1060400058119?aff=ebdssbdestsearch,"Feb 27 - Mar 2, 2025","SF County Fair Building, 1199 9th Avenue San Francisco, CA 94122","Surround yourself in clouds of orchids at the 72nd Annual Pacific Orchid Exposition, starting on February 28th in Golden Gate Park! The event will showcase themed flower displays, expert advice on growing orchids, and a stunning array of beautiful and rare orchids. Interactive demonstrations, plant sales, themed displays, silent auction, and activities for all ages will be available. Children 12 and under are free with a paid adult chaperone."
Out & Abt: SF @OASIS,https://www.eventbrite.com/e/out-abt-sf-oasis-tickets-1222986177579?aff=ebdssbdestsearch,February 28 - March 1,"OASIS, 298 11th Street San Francisco, CA 94103",Out & Abt February! Join us for a night of fun and entertainment at OASIS in San Francisco. Refunds available up to 7 days before the event.
The Information’s AI Agenda Live - SF,https://www.eventbrite.com/e/the-informations-ai-agenda-live-sf-tickets-1105868214599?aff=ebdssbdestsearch,"Thursday, February 27","Terra Gallery & Event Venue, 511 Harrison Street San Francisco, CA 94105","The rise of conversational artificial intelligence has drawn hundreds of billions of dollars to fund new data centers, server chips and startups. The Information’s AI Agenda Live on February 27, 2025, will tackle the most pressing questions facing the industry. Located in San Francisco and hosted by Amir Efrati, Stephanie Palazzolo and other reporters from The Information, AI Agenda Live will feature fireside chats and lively panel discussions with the founders, investors and scientists shaping the field."
Arion Press Craft Talk with Steph Rue,https://www.eventbrite.com/e/arion-press-craft-talk-with-steph-rue-tickets-1218221275629?aff=ebdssbdestsearch,"Wednesday, February 26","Bayfront Theater, 2 Marina Boulevard Building B San Francisco, CA 94123","Please join us for a fascinating talk by celebrated book and paper artist Steph Rue. Arion Press is proud to announce book artist and papermaker Steph Rue as the debut speaker in an exciting new series of craft talks, drawing from our local creative community to highlight the joy and artistry of various handcrafts. Steph will share her expertise in traditional Korean paper works, answer live questions from the audience, and offer an interactive demo allowing attendees to try their hand at beating & scraping raw paper fibers."
MERCURY REV,https://www.eventbrite.com/e/mercury-rev-tickets-1042339965897?aff=ebdssbdestsearch,"Friday, February 28","Popscene @ Rickshaw Stop, 155 Fell Street San Francisco, CA 94102","Mercury Rev has made a career of boldly exploring the fringes of artistic perception, channeling colors and sounds and visions that always seem just beyond our mortal reach. The band's music has been praised for its majestic chaos and shimmering psychedelic pop. Their ninth album, 'Born Horses,' is out now on Bella Union."
Hard Hat Heroes - Coloring Book Release Party,https://www.eventbrite.com/e/hard-hat-heroes-coloring-book-release-party-registration-1225818308559?aff=ebdssbdestsearch,"Thursday, February 27, 2025","Hunters Point Shipyard, Building 101 451 Galvez San Francisco, CA 94124","Join Shipyard Artists Stacey Carter and William Rhodes for the release of a coloring book based on African-American Shipyard History. The event includes coloring activities, music, refreshments, and original artwork inspired by Black labor."
"We Go On Tour-San Francisco, CA",https://www.eventbrite.com/e/we-go-on-tour-san-francisco-ca-tickets-1084587152369?aff=ebdssbdestsearch,"Friday, February 28","EPIC SF, 414 Brannan Street San Francisco, CA 94107","Explore the intersection of GRIEF and HOPE through live music, storytelling, film and engaging conversation with tears and laughter. The event is designed to help attendees hold on to hope during challenging times and take steps towards healing. It offers a safe space to discuss and experience grief, with live music, film, and conversation."
In Conversation: Patricia Eunji Kim and Maryam Yousif,https://www.eventbrite.com/e/in-conversation-patricia-eunji-kim-and-maryam-yousif-tickets-1246685954249?aff=ebdssbdestsearch,"Thursday, February 27, 5 - 6:30pm PST","ICA SF, 345 Montgomery Street San Francisco, CA 94104","Join exhibiting artist Maryam Yousif and visiting scholar Patricia Eunji Kim, PhD, for a conversation on memory, queenship, and the power of witnessing. Moderated by LYRA Foundation Curator Meghan Smith."
The Murder of Michael Collins—matinee show,https://www.eventbrite.com/e/the-murder-of-michael-collinsmatinee-show-tickets-1143419411239?aff=ebdssbdestsearch,"Friday, February 28","United Irish Cultural Center, 2700 45th Avenue San Francisco, CA 94116","Paddy Cullivan presents a fascinating and controversial exploration of one of the most pivotal moments in Irish history—the assassination of Michael Collins. The Murder of Michael Collins takes audiences on a gripping, multimedia journey through historical evidence, political intrigue, and shocking revelations."
Palestrina 500 (San Francisco),https://www.eventbrite.com/e/palestrina-500-san-francisco-tickets-1217172388379?aff=ebdssbdestsearch,"Thursday, February 27","St Matthews Lutheran Church, 3281 16th Street San Francisco, CA 94103","Celebrate the 500th birthday of legendary Renaissance composer Giovanni Pierluigi da Palestrina with a concert of sacred and secular works. Feast your ears as 24-voice Renaissance vocal ensemble Tactus SF celebrates the 500th birthday of Giovanni Pierluigi da Palestrina, arguably the most-celebrated composer of the 16th century, with a concert of his works."
