name,url,date,address,description
Between Two Founders #6: Gusto Co-founder & CEO Josh Reeves,https://lu.ma/between-two-founders-episode-6,"Wednesday, February 26","San Francisco, California","Gusto Co-Founder and CEO Josh Reeves sits down with Jeff Seibert, Co-Founder and CEO of Digits, to share behind-the-scenes challenges, pivotal moments, and valuable lessons learned towards building a category defining company."
"Unstructured Data Meetup SF with AWS, Milvus, and Hasura",https://lu.ma/g8fpacq3,"Wednesday, February 26","San Francisco, California",This is an in-person event! Registration is required to get in. Please bring your ID to the event to be checked in. Topic: Connecting your unstructured data with Generative LLMs. What we’ll do: Have some food and refreshments. Hear three exciting talks about unstructured data and generative AI.
Women Tech Meetup w/Lawformer & Startup Grind,https://lu.ma/fvvsmb1o,"Wednesday, February 26","San Francisco, California","Join the Women Tech Meetup with Lawformer & Startup Grind in San Francisco on February 26th to explore the role of legal in scaling a startup. Enjoy panel discussions, networking, and insights on reducing legal costs."
ai + health demo night #004,https://lu.ma/vuzyqyn5,"Wednesday, February 26","San Francisco, California","Curious about how new machine learning models are finding their way into clinical workflows, biosensors, and healthtech? Join us for a series of demos that remove the hype of AI and focus on active solutions being implemented today."
"CineAI Film Night: Watch, Learn, Connect",https://lu.ma/w9zm21c5,"Wednesday, February 26","San Francisco, California","Join fellow creators, founders, and tech enthusiasts in the Bay Area to watch award-winning AI films, explore the cutting-edge techniques behind them, and discuss their impact on storytelling. It’s a chance to unwind, connect, and get inspired in a fun, relaxed setting. Got a favorite AI-generated video? Bring your suggestions! Let’s dive into the future of filmmaking together."
Climate Dinner: Theories of Change,https://lu.ma/beethm8a,"Thursday, February 27","San Francisco, California","Join the Climate Action Club for an evening of thoughtful discussions, good food, and great company as we explore different ways to drive climate action. Challenge ideas, find solidarity, and spark action in a respectful and inclusive community."
Apache Iceberg™ SF Meetup,https://lu.ma/77zbx044,"Thursday, February 27","San Francisco, California","Connect with fellow enthusiasts, share insights, and dive into the latest developments in the Apache Iceberg ecosystem! Whether you're a seasoned pro or new to Apache Iceberg, this meetup is the perfect place to exchange ideas and spark innovation."
vLLM x Meta Meetup,https://lu.ma/h7g3kuj9,"Thursday, February 27","Meta Building 23, 300 Constitution Dr, Menlo Park, CA 94025, USA","Join the ninth vLLM meetup in collaboration with Meta at Meta Headquarter in Menlo Park. Connect, share, and learn with vLLM users and developers. Technical talks on vLLM and Meta's contributions. Refreshments provided. Doors open at 5:00 pm, social hour, presentations, Q&A, and networking."
AGI Builders Meetup SF,https://lu.ma/ldux5gk6,"Thursday, February 27","San Francisco, California","Open stage for AI builders, researchers and enthusiasts to share, inspire and transform."
AI Code Gen + Full Stack Demo Night @Convex,https://lu.ma/sgn747kk,"Thursday, February 27","San Francisco, California","We’re back for the first AI Code Gen + Full-Stack Demo Night at Convex. This is an in-person event! Registration is required to get in. Hear three talks on the latest advancements in AI Code Gen and full-stack development. Enjoy food, refreshments, and plenty of time to chat and network about AI and full-stack development after the tech talks."
Batter Up! Bay Area,https://lu.ma/BU-BayArea,"Thursday, February 27","Palo Alto, California",Live pitch event for founders hosted by Hustle Fund Events. Founders pitch to a panel of investors for feedback and a chance to win a prize. Designed for founders and investors to network and learn from each other.
Realtime AI Meetup,https://lu.ma/a9xvupy4,"Thursday, February 27","Founders, Inc. | San Francisco Lab, 2 Marina Blvd B300, San Francisco, CA 94123, USA","Join experts from across the AI stack at F.inc in SF to learn about building realtime AI agents. Topics include voice agent pipelines, edge vs. cloud inference, multimodal models, agentic workflows, reasoning models, and more."
SF Systems Meetup: Correctness and Security for Distributed Systems,https://lu.ma/vqjf30k3,"Thursday, February 27","160 Spear St, San Francisco, California",The SF Systems Meetup focuses on correctness and security in distributed systems. Featuring talks on formal verification tools and advanced protocols for secure encryption key storage. Hosted by Databricks with food and drinks provided.
Founder Collective: Ramadan Reset - San Francisco,https://lu.ma/tpdhqcu2,"Thursday, February 27","San Francisco, California","Join the Pre-Ramadan Friday Founder Collective event to learn about Friday Ventures, a VC fund dedicated to powering Muslim-led businesses. Network with founders, VCs, and explore investment opportunities with Friday Ventures."
Founders’ Inner Circle: Human-First Connections,https://lu.ma/oxf92vee,"Thursday, February 27","550 Laguna St, San Francisco + South Studio","Founderhood is a journey of invisible battles—sleepless nights, isolated decisions, and pressures that rarely fit into pitch decks. Yet in pursuit of growth, these struggles are often dismissed as \""the cost of success.\"" _Founders’ Inner Circle_ creates space for what’s overlooked. Here, early-stage founders gather not to exchange LinkedIn connections, but to share openly with peers who understand the unspoken weight of building something meaningful."
SF Tech Connect Party,https://lu.ma/k00ldrgy,"Thursday, February 27","San Francisco, California","Intern Ship is back with a party to connect interns, students, and early career professionals in tech. Join for networking, fun, and karaoke night in San Francisco."
Climate Dinner: Theories of Change,https://lu.ma/beethm8a,"Thursday, February 27","San Francisco, California","Join the Climate Action Club for an evening of thoughtful discussions, good food, and great company as we explore different ways to drive climate action. Challenge ideas, find solidarity, and spark action in a respectful and inclusive community."
Climate Dinner: Theories of Change,https://lu.ma/beethm8a,"Thursday, February 27","San Francisco, California","Join the Climate Action Club for an evening of thoughtful discussions, good food, and great company as we explore the different ways we can drive climate action. From technological innovation to grassroots movements or policy shifts, come challenge ideas, find solidarity, and spark action!"
Sonder Literary Salon,https://lu.ma/sonder,"Friday, February 28","1951 Telegraph Ave Suite 4, Oakland, CA 94612, USA","Sonder Literary Salon is a conceptual poetry experience that pays homage to the sacred spaces where conversation and community are the connective tissue that bind us. For our second installment we are taking it to Church. We will be hosting a conversation with Cole Arthur Riley, NY times best selling author of Black Liturgies and This Here Flesh. We will be exploring the joy, the healing, the trauma, and the transformation church and spirituality have had in the lives of BIPOC folks, especially for the queer and trans community. This will be an immersive and interactive experience that will allow you to connect with your community, your roots, your memories, and yourself in a deep and intentional way. This is not just a poetry reading, but a chance to dive deep and emerge transformed. $35 Per Person General Admission Attire: Your Sunday best."
🧠 The Thought Experiment Lab [public],https://lu.ma/thoughtexperiments,"Friday, February 28","550 Laguna St, San Francisco, California","At each meeting, we'll do some quick reading to explain and provide background on a popular thought experiment, and take the remaining time to share and discuss our perspectives. For this meeting, we'll be discussing perspectives on environmental ethics."
🧠 The Thought Experiment Lab [public],https://lu.ma/thoughtexperiments,"Friday, February 28","550 Laguna StSan Francisco, California","At each meeting, we'll do some quick reading to explain and provide background on a popular thought experiment, and take the remaining time to share and discuss our perspectives. For this meeting (Feb 26), we'll be discussing perspectives on environmental ethics."
